collection,wikipedia,wikidata,city,suggested_url,evidence,missing,summary_draft
Women of Rock Oral History Project,https://en.wikipedia.org/wiki/Women_of_Rock_Oral_History_Project,Q43648637,,http://www.womenofrock.org/,"oral history project focusing on American women and gender non-conforming, LGBT, and feminist rock and roll and punk music musicians",coordinates,"An oral history project based at Smith College that documents American women, gender non-conforming, and LGBT musicians in rock and roll and punk music from the 1970s to the present."
Old Lesbian Oral Herstory Project,https://en.wikipedia.org/wiki/Old_Lesbian_Oral_Herstory_Project,Q21070933,,http://asteria.fivecolleges.edu/findaids/sophiasmith/mnsss547_main.html,a collection of interviews that document the lives of lesbians,coordinates,"The Old Lesbian Oral Herstory Project is a collection of interviews documenting the lives of lesbians, particularly those born in the first half of the 1900s."
Mississippi Freedom Project,https://en.wikipedia.org/wiki/Mississippi_Freedom_Project_(oral_history_project),Q24975354,,http://oral.history.ufl.edu/projects/mfp/msfreedomproject/,archive of oral histories collected...contains 100+ interviews online...focuses on interviews with civil rights veterans,coordinates,"The Mississippi Freedom Project is an archive of oral histories collected by the Samuel Proctor Oral History Program at the University of Florida. It contains 100+ interviews online focused on civil rights veterans and notable residents of the Mississippi Delta, centering on activism and organizing in partnership with the Sunflower County Civil Rights Organization in Sunflower, Mississippi."
Quilt Treasures Project,https://en.wikipedia.org/wiki/Quilt_Treasures,Q7272025,,https://quiltindex.org/view/?type=specialcolls&kid=12-91-508,documents the stories of notable individuals through oral history project with web portraits and mini-documentaries,coordinates,"The Quilt Treasures Project is an oral history project documenting stories of individuals who advanced the 20th Century Quilt Revival, including quilt makers, designers, business people, collectors, publishers, historians, and scholars. Materials are made available digitally as web portraits and mini-documentaries for researchers, students, and scholarly publications. The project is a collaboration of the Alliance for American Quilts, Michigan State University Museum, and MATRIX, with some materials held at Michigan State University Museum."
Louisiana Digital Media Archive,https://en.wikipedia.org/wiki/Louisiana_Digital_Media_Archive,Q20647656,,https://ladigitalmedia.org,"contains ""interviews with notable Louisianians, such as artists, civil rights activists, military personnel, politicians, and writers""",coordinates,"The LDMA preserves and provides public access to the Louisiana State Archives' Multimedia Collection and Louisiana Public Broadcasting's Digital Collection. It contains thousands of hours of media documenting over 50 years of Louisiana history, including interviews with notable Louisianians and documentation of the state's endangered and remote communities."
Jewish Women's Archive,https://en.wikipedia.org/wiki/Jewish_Women%27s_Archive,Q6189988,Brookline,https://jwa.org,The source text states JWA's activities include 'Community-based oral history projects' and it produces 'oral history guide' educational materials.,coordinates,"The Jewish Women's Archive documents the stories and voices of American Jewish women through community-based oral history projects, online exhibitions, original research, and educational materials. JWA makes its growing collection of information and resources available via its website and conducts training institutes for educators."
Samuel Proctor Oral History Program,https://en.wikipedia.org/wiki/Samuel_Proctor_Oral_History_Program,Q16980590,,http://oral.history.ufl.edu,"The source states SPOHP has 'over 6,500 interviews and more than 150,000 pages of transcribed material' and its mission is 'to gather, preserve, and promote living histories of individuals from all walks of life,' establishing it as an oral history program.",coordinates,"The Samuel Proctor Oral History Program (SPOHP) is the official oral history program at the University of Florida, holding over 6,500 interviews and more than 150,000 pages of transcribed material. The program gathers, preserves, and promotes living histories of individuals from all walks of life, involving staff, students, and community volunteers in its operation."
Foundation for Iranian Studies,https://en.wikipedia.org/wiki/Foundation_for_Iranian_Studies,Q16993710,Maryland,http://fis-iran.org/en,Since 1982 they have hosted an oral history program.,coordinates,"The Foundation for Iranian Studies has hosted an oral history program since 1982, dedicated to preserving Persian and Iranian cultural heritage, studying contemporary Iranian government and society, and documenting probable social, economic, political, and military directions Iran may take in the 21st century."
Silicon Genesis Project,https://en.wikipedia.org/wiki/Silicon_Genesis_Project,Q123347682,,https://exhibits.stanford.edu/silicongenesis,oral history project... conducted by volunteers and housed at the Stanford University Library,coordinates,An ongoing oral history project documenting the history of Silicon Valley and the semiconductor industry. The project is conducted by volunteers and housed at Stanford University Library.
Oral History Society,https://en.wikipedia.org/wiki/Oral_History_Society,Q7099361,,http://www.oralhistory.org.uk/,"The Society promotes the collection, preservation and use of recorded memories of the past",coordinates,"The Oral History Society is a UK-based group that promotes the collection, preservation and use of recorded memories. It raises standards in oral history practices, shares ideas and experience through an annual conference and journal, and advises national organisations on oral history."
